Date,Carbon Emissions (tons),Carbon Offsets (tons)
2023-05-21,9.81,5.6
2023-05-22,9.66,1.65
2023-05-23,3.99,4.41
2023-05-24,2.95,2.28
2023-05-25,5.37,0.62
2023-05-26,9.72,6.31
2023-05-27,6.48,1.41
2023-05-28,7.93,7.4
2023-05-29,8.08,6.35
2023-05-30,9.64,4.35
2023-05-31,2.46,2.77
2023-06-01,7.86,0.91
2023-06-02,6.77,5.87
2023-06-03,5.56,6.16
2023-06-04,1.72,4.18
2023-06-05,2.02,7.56
2023-06-06,3.24,3.94
2023-06-07,8.62,4.75
2023-06-08,6.76,5.73
2023-06-09,5.79,5.65
2023-06-10,2.18,1.9
2023-06-11,2.05,6.34
2023-06-12,5.83,2.62
2023-06-13,4.79,4.41
2023-06-14,5.25,5.85
2023-06-15,2.23,3.89
2023-06-16,7.72,3.76
2023-06-17,8.42,4.91
2023-06-18,9.2,4.15
2023-06-19,4.47,0.67
2023-06-20,8.05,4.34
2023-06-21,6.93,2.07
2023-06-22,7.17,6.15
2023-06-23,9.71,4.6
2023-06-24,9.82,5.38
2023-06-25,5.35,4.59
2023-06-26,6.41,7.92
2023-06-27,5.37,2.22
2023-06-28,2.05,2.85
2023-06-29,5.23,1.84
2023-06-30,3.38,4.04
2023-07-01,5.01,5.68
2023-07-02,2.82,0.73
2023-07-03,8.91,3.85
2023-07-04,6.86,3.04
2023-07-05,6.9,7.09
2023-07-06,7.0,1.76
2023-07-07,1.06,2.25
2023-07-08,3.11,1.16
2023-07-09,9.98,7.74
2023-07-10,4.78,3.89
2023-07-11,9.93,2.08
2023-07-12,7.33,1.92
2023-07-13,4.87,4.92
2023-07-14,6.03,1.87
2023-07-15,2.77,2.07
2023-07-16,6.32,7.8
2023-07-17,4.05,7.49
2023-07-18,6.95,6.66
2023-07-19,6.63,4.2
2023-07-20,4.1,7.28
2023-07-21,4.02,6.6
2023-07-22,9.78,7.96
2023-07-23,9.63,3.16
2023-07-24,1.31,5.32
2023-07-25,9.68,4.42
2023-07-26,2.03,5.64
2023-07-27,4.7,2.84
2023-07-28,8.53,2.48
2023-07-29,5.03,4.23
2023-07-30,2.0,1.25
2023-07-31,1.64,3.87
2023-08-01,1.83,5.04
2023-08-02,8.17,2.66
2023-08-03,8.71,4.88
2023-08-04,1.13,3.4
2023-08-05,9.51,4.41
2023-08-06,4.59,1.38
2023-08-07,9.12,6.73
2023-08-08,7.43,4.85
2023-08-09,6.78,4.55
2023-08-10,9.78,6.18
2023-08-11,6.36,4.14
2023-08-12,2.93,2.32
2023-08-13,1.08,5.87
2023-08-14,4.13,2.19
2023-08-15,9.35,7.06
2023-08-16,9.47,6.33
2023-08-17,9.89,2.49
2023-08-18,6.56,4.74
2023-08-19,6.69,4.62
2023-08-20,5.65,6.36
2023-08-21,2.54,2.55
2023-08-22,6.41,3.66
2023-08-23,5.28,1.64
2023-08-24,8.48,5.71
2023-08-25,2.19,4.49
2023-08-26,1.94,7.47
2023-08-27,3.53,3.86
2023-08-28,9.21,6.87
2023-08-29,5.79,5.2
2023-08-30,1.42,0.72
2023-08-31,4.59,6.86
